"","species_code","weight_specific_root_length","weight_tissue_density","species_fixed","File_Name","Raw_Skel","Skel_Corr","Kimura","Raw_RL","RLc","Kimura_length","Mean_Dia","Mean_Dia_C","Eq_Surf","Eq_Vol","Surf_Area"
"37","S8PlinS1",0.0084,NA,"S8PLINS1","S8PLINS1_altered",3098,3106,3841.5141,131.1487,131.4873,162.6241,0.5079,0.5198,209.8163,26.6431,66.7866
"38","S8PlinS2",0.0101,NA,"S8PLINS2","S8PLINS2_altered",7673,7685,9381.7749,324.8237,325.3317,397.1618,0.2547,0.224,260.2675,16.5693,82.8457
"39","S8PlinS3",0.0064,NA,"S8PLINS3","S8PLINS3_altered",3778,3800,4671.8738,159.9353,160.8667,197.776,0.3969,0.3854,200.5942,19.9049,63.8511
"40","S8PlanS1",0.0318,NA,"S8PLANS1","S8PLANS1_altered",7631,7653,9446.5,323.0457,323.977,399.9018,0.496,0.7346,504.827,62.5981,160.6914
"41","S8PlanS2",0.008,NA,"S8PLANS2","S8PLANS2_altered",4610,4612,5702.3534,195.1567,195.2413,241.3996,0.3089,0.2751,189.4579,14.63,60.3063
"42","S8PlanS3",0.0013,NA,"S8PLANS3","S8PLANS3_altered",1395,1403,1869.275,59.055,59.3937,79.1326,0.4459,0.4325,83.2014,9.2749,26.4838
"43","S11HypoS1",0.0091,NA,"S11HYPOS1","S11HYPOS1_altered",1865,1869,2198.4423,78.9517,79.121,93.0674,0.7084,0.7883,176.0865,31.1853,56.0501
"44","S11HypoS1",0.0091,NA,"S11HYPOS1","S11HYPOS1_altered",1865,1869,2198.4423,78.9517,79.121,93.0674,0.7084,0.7883,176.0865,31.1853,56.0501
"45","S11HypoS2",0.0018,NA,"S11HYPOS2","S11HYPOS2_altered",2335,2339,2861.1228,98.8483,99.0177,121.1209,0.3022,0.2512,94.0168,7.1038,29.9265
"46","S11HypoS3",0.0029,NA,"S11HYPOS3","S11HYPOS3_altered",2783,2789,3296.6254,117.8137,118.0677,139.5571,0.485,0.5131,179.9149,21.8169,57.2687
"47",NA,NA,NA,"S7LEPTS1","S7LEPTS1_altered",5275,5285,6836.5868,223.3083,223.7317,289.4155,0.4275,0.408,300.5057,32.1194,95.6539
"48",NA,NA,NA,"S7LEPTS2","S7LEPTS2_altered",9009,9013,11024.2222,381.381,381.5503,466.6921,0.2677,0.2357,320.926,21.4807,102.1539
"49",NA,NA,NA,"S7LEPTS3","S7LEPTS3_altered",7012,7016,8583.9421,296.8413,297.0107,363.3869,0.425,0.4501,396.5831,42.1392,126.2363
"50",NA,NA,NA,"S7TETRS1","S7TETRS1_altered",2458,2470,3140.6247,104.0553,104.5633,132.9531,0.1873,0.1799,61.5199,2.8803,19.5824
"51",NA,NA,NA,"S7TETRS2","S7TETRS2_altered",1552,1554,1943.018,65.7013,65.786,82.2544,0.378,0.3741,78.1174,7.3816,24.8655
"52",NA,NA,NA,"S7TETRS3","S7TETRS3_altered",4285,4291,5392.6793,181.3983,181.6523,228.2901,0.5055,0.5149,288.4798,36.4569,91.826
