site,sample,species,density,rbi,srl,unique_id,air_porosity,som
S10,S1,Banksia ericifolia,0.3695246220729457,0.5015883631499749,854.4285714285714,S10S1Banksia ericifolia1,NA,15.3683597518
S10,S1,Empodisma minus,0.16198119369372285,1.4781966001478197,9020.0,S10S1Empodisma minus1,3.209321341,15.3683597518
S10,S2,Empodisma minus,0.10655093705774245,1.4010507880910683,2855.0,S10S2Empodisma minus2,2.28198859,15.3683597518
S10,S3,Empodisma minus,0.09646731037800496,0.3859215807347947,2879.1111111111113,S10S3Empodisma minus3,7.61416214,15.3683597518
S10,S1,Entolasia stricta,0.14047478927261547,0.8058017727639,1838.5185185185185,S10S1Entolasia stricta1,NA,15.3683597518
S10,S2,Entolasia stricta,0.18628846631269436,1.4892956872479057,7324.999999999999,S10S2Entolasia stricta2,0.109729334,15.3683597518
S10,S3,Entolasia stricta,0.1899862386852445,2.044711014176663,1222.6666666666667,S10S3Entolasia stricta3,2.981651376,15.3683597518
S10,S1,Gonocarpus micranthus,0.19357181233256998,0.41899441340782123,1835.897435897436,S10S1Gonocarpus micranthus1,5.033557047,15.3683597518
S10,S2,Gonocarpus micranthus,0.1599901124700889,1.0090817356205852,NA,NA,NA,15.3683597518
S10,S3,Gonocarpus micranthus,0.17698978589165673,1.0527239231511536,5428.095238095238,S10S3Gonocarpus micranthus3,NA,15.3683597518
S10,S1,Lepidosperma neesii,0.30589739589546877,2.6020816653322654,2270.909090909091,S10S1Lepidosperma neesii1,25.75520833,15.3683597518
S10,S2,Lepidosperma neesii,0.24399138367537868,1.5027001643578304,4629.347826086957,S10S2Lepidosperma neesii2,14.94345719,15.3683597518
S10,S3,Lepidosperma neesii,0.21669763475765075,0.7543374402816193,969.9999999999999,S10S3Lepidosperma neesii3,9.311740891,15.3683597518
S10,S1,Leptospermum squarrosum,0.20975508792831735,1.4763779527559056,4689.2307692307695,S10S1Leptospermum squarrosum1,NA,15.3683597518
S10,S2,Leptospermum squarrosum,0.18861549534541042,1.2994802079168333,NA,NA,NA,15.3683597518
S10,S1,Plinthanthesis paradoxa,0.12706156570117036,0.9307520476545048,1852.4137931034484,S10S1Plinthanthesis paradoxa1,5.499103407,15.3683597518
S10,S2,Plinthanthesis paradoxa,0.14345926335936682,1.7552916881775942,6917.857142857143,S10S2Plinthanthesis paradoxa2,NA,15.3683597518
S10,S3,Plinthanthesis paradoxa,0.14605864863522705,1.3041210224308815,5898.461538461539,S10S3Plinthanthesis paradoxa3,2.702702703,15.3683597518
S10,S1,Ptilothrix deusta,0.31223694369275795,1.592356687898089,872.2222222222223,S10S1Ptilothrix deusta1,2.030947776,15.3683597518
S10,S2,Ptilothrix deusta,0.2662842025910505,0.4767201652629906,676.6666666666667,S10S2Ptilothrix deusta2,5.272108844,15.3683597518
S10,S3,Ptilothrix deusta,0.30778500753621385,0.12356357345854442,400.64356435643566,S10S3Ptilothrix deusta3,11.5713567,15.3683597518
S11,S1,Banksia serrata,0.3082790038351826,1.0774410774410774,4367.64705882353,S11S1Banksia serrata1,NA,2.4627319158
S11,S2,Banksia serrata,0.2548388015736965,1.174053419430584,4867.142857142857,S11S2Banksia serrata2,NA,2.4627319158
S11,S3,Banksia serrata,0.38548397000730034,1.6030311862430777,3267.6190476190477,S11S3Banksia serrata3,0.377180575,2.4627319158
S11,S3,Banksia serrata,0.38548397000730034,1.6030311862430777,3267.6190476190477,S11S3Banksia serrata3,NA,2.4627319158
S11,S3,Banksia serrata,2.462685245859555,1.6030311862430777,3267.6190476190477,S11S3Banksia serrata3,0.377180575,2.4627319158
S11,S3,Banksia serrata,2.462685245859555,1.6030311862430777,3267.6190476190477,S11S3Banksia serrata3,NA,2.4627319158
S11,S1,Caustis pentandra,0.5892661928896199,0.9726443768996961,5483.333333333333,S11S1Caustis pentandra1,4.391151266,2.4627319158
S11,S2,Caustis pentandra,0.299145797208877,0.8161044613710554,1621.7647058823532,S11S2Caustis pentandra2,15.5272542,2.4627319158
S11,S2,Caustis pentandra,0.299145797208877,0.8161044613710554,1621.7647058823532,S11S2Caustis pentandra2,8.416877823,2.4627319158
S11,S2,Caustis pentandra,0.32346766555534157,0.8161044613710554,1621.7647058823532,S11S2Caustis pentandra2,15.5272542,2.4627319158
S11,S2,Caustis pentandra,0.32346766555534157,0.8161044613710554,1621.7647058823532,S11S2Caustis pentandra2,8.416877823,2.4627319158
S11,S3,Caustis pentandra,0.33567654372585864,0.48828125,1050.2564102564104,S11S3Caustis pentandra3,2.013119204,2.4627319158
S11,S1,Hypoleana fastigata,0.30231386882939243,3.2280701754385963,2035.7142857142858,S11S1Hypoleana fastigata1,4.671532847,2.4627319158
S11,S2,Hypoleana fastigata,0.22701855131830467,2.90437890974084,8952.0,S11S2Hypoleana fastigata2,18.44817432,2.4627319158
S11,S3,Hypoleana fastigata,0.32869908218884325,3.2936407398023815,481.3414634146341,S11S3Hypoleana fastigata3,12.3853211,2.4627319158
S11,S1,Lepidosperma concavum,0.37044979278194606,1.3899506567516853,1344.766355140187,S11S1Lepidosperma concavum1,7.784881534,2.4627319158
S11,S2,Lepidosperma concavum,0.3874887746640551,0.3139388865634157,1179.7530864197531,S11S2Lepidosperma concavum2,0.918367347,2.4627319158
S11,S3,Lepidosperma concavum,0.365759162449899,0.7190364911019235,1158.9583333333335,S11S3Lepidosperma concavum3,4.902427416,2.4627319158
S11,S2,Lomandra obliqua,0.48525653891657006,0.5443234836702955,2990.6976744186045,S11S2Lomandra obliqua2,0.727524684,2.4627319158
