leafcode
CYA
ENTO
ERIC
GONO
LEPTO
LEPY
LOMA
NEE
PLIN
PTI
TETRA
EURY
OBL
TENAX
XYR
CORY
CAUSTUS
CONCA
HYPO
PLAN
SERR
EMP
TATRA
NA
