site,sample,site_class,species,species_code,replicate,TD,SRL
S3,S1,IB,Banksia ericifolia,eric,1,0.0114,0.0007
S3,S2,IB,Banksia ericifolia,eric,2,0.0372,0.0028
S3,S3,IB,Banksia ericifolia,eric,3,0.0366,0.0037
S3,S1,IB,Ptilothrix deusta,pti,1,0.1231,0.0007
S3,S2,IB,Ptilothrix deusta,pti,2,0.0318,0.0009
S3,S3,IB,Ptilothrix deusta,pti,3,0.0875,0.0033
S11,S1,UD,Lepidosperma concavum,conca,1,0.0987,0.0107
S11,S2,UD,Lepidosperma concavum,conca,2,0.0761,0.0081
S11,S3,UD,Lepidosperma concavum,conca,3,0.077,0.0048
S11,S1,UD,Hypoleana fastigata,hypo,1,0.0415,0.0035
S11,S2,UD,Hypoleana fastigata,hypo,2,0.1545,0.001
S11,S3,UD,Hypoleana fastigata,hypo,3,0.0359,0.0082
S11,S1,UD,Lomandra obliqua,loma,1,0.2354,0.0005
S11,S2,UD,Lomandra obliqua,loma,2,0.2807,0.0043
S11,S3,UD,Lomandra obliqua,loma,3,0.5099,0.0051
S11,S1,UD,Caustisæpentandra,caustis,1,0.8888,0.0015
S11,S2,UD,Caustisæpentandra,caustis,2,0.2942,0.0068
S11,S3,UD,Caustisæpentandra,caustis,3,0.2974,0.0078
S11,S1,UD,Banksia serrata,serr,1,0.0434,0.0034
S11,S2,UD,Banksia serrata,serr,2,0.0537,0.0007
S11,S3,UD,Banksia serrata,serr,3,0.3277,0.0021
S12,S1,UD,Caustisæpentandra,caustis,1,0.3717,0.0008
S12,S2,UD,Caustisæpentandra,caustis,2,0.4242,0.0012
S12,S3,UD,Caustisæpentandra,caustis,3,0.1034,0.0006
S12,S1,UD,Lepidosperma concavum,conca,1,0.0351,0.005
S12,S2,UD,Lepidosperma concavum,conca,2,0.0387,0.0082
S12,S3,UD,Lepidosperma concavum,conca,3,0.0405,0.0039
S12,S1,UD,Lomandra obliqua,loma,1,0.2414,0.0007
S12,S2,UD,Lomandra obliqua,loma,2,0.3509,0.001
S12,S3,UD,Lomandra obliqua,loma,3,0.366,0.0014
S12,S1,UD,Hypoleana fastigata,hypo,1,0.0534,0.0056
S12,S2,UD,Hypoleana fastigata,hypo,2,0.1565,0.0032
S12,S3,UD,Hypoleana fastigata,hypo,3,0.2553,0.0019
S12,S1,UD,Banksia serrata,serr,1,0.0797,0.0056
S12,S2,UD,Banksia serrata,serr,2,0.0852,0.0031
S12,S3,UD,Banksia serrata,serr,3,0.0752,0.0041
S13,S1,BD,Caustisæpentandra,caustis,1,0.185,0.0035
S13,S2,BD,Caustisæpentandra,caustis,2,0.4362,0.0006
S13,S3,BD,Caustisæpentandra,caustis,3,0.0426,0.0002
S13,S1,BD,Hypoleana fastigata,hypo,1,0.066,0.0068
S13,S2,BD,Hypoleana fastigata,hypo,2,0.2639,0.0028
S13,S3,BD,Hypoleana fastigata,hypo,3,0.1797,0.0031
S13,S1,BD,Lepidosperma concavum,conca,1,0.0856,0.0064
S13,S2,BD,Lepidosperma concavum,conca,2,0.0651,0.0039
S13,S3,BD,Lepidosperma concavum,conca,3,0.0615,0.0084
S13,S1,BD,Banksia serrata,serr,1,0.3197,0.006
S13,S2,BD,Banksia serrata,serr,2,0.1771,0.0025
S13,S3,BD,Banksia serrata,serr,3,0.1376,0.0029
S13,S1,BD,Haemodorum planifolium,plan,1,,0.0069
