leafcode
Banksia ericifolia
Empodisma minus
Entolasia stricta
Gonocarpus micranthus
Lepidosperma neesii
Leptospermum squarrosum
Plinthanthesis paradoxa
Ptilothrix deusta
Banksia serrata
Caustis pentandra
Hypoleana fastigata
Lepidosperma concavum
Lomandra obliqua
Haemodorum corymbosum
Haemodorum planifolium
Cyathochaeta diandra
Gonocarpus tetragynus
Leptocarpus tenax
Lepyrodia scariosa
Banksia oblongifolia
Eurychorda complanata
Xyris bracteata
