site,sample,site_class,species,species_code,replicate,fresh_mass_of_roots,Mass_of_pycnometer_filled_with_water,temperature_of_water_reading_1,density_1,fresh_weight_pycnometer_with_roots_and_water_before_vaccuum,temp_of_water_reading_2,density_2,fresh_weight_pycnometer_after_vacuum,root_volume,air_root_volume,air_porosity
S12,S3,UD,Caustis pentandra,caustis,3,0.2489,92.6851,23.2,0.998,92.6784,24.6,0.998,92.6935,0.256112224,0.015130261,5.907668232
S12,S1,UD,Hypoleana fastigata,hypo,1,0.3391,92.6823,23.2,0.998,92.6235,24.6,0.998,92.6572,0.398697395,0.033767535,8.46946469
S12,S2,UD,Hypoleana fastigata,hypo,2,0.186,92.6875,23.2,0.998,92.5736,24.6,0.998,92.6309,0.300501002,0.05741483,19.10636879
S12,S3,UD,Hypoleana fastigata,hypo,3,0.4986,92.6826,23.2,0.998,92.3867,24.6,0.998,92.6104,0.796092184,0.224148297,28.156073
S12,S1,UD,Lepidosperma concavum,conca,1,0.0968,92.6884,23.2,0.998,92.6693,24.6,0.998,92.6707,0.116132265,0.001402806,1.207937877
S12,S2,UD,Lepidosperma concavum,conca,2,0.0741,92.6969,23.2,0.998,92.6633,24.6,0.998,92.6748,0.107915832,0.011523046,10.67780873
S12,S3,UD,Lepidosperma concavum,conca,3,0.0969,92.6944,23.2,0.998,92.6724,24.6,0.998,92.6774,0.119138277,0.00501002,4.205214466
S12,S1,UD,Lomandra obliqua,loma,1,0.5352,92.697,23.2,0.998,92.7152,24.6,0.998,92.7172,0.518036072,0.002004008,0.386847195
S12,S2,UD,Lomandra obliqua,loma,2,0.8957,92.6908,23.2,0.998,92.7185,24.6,0.998,92.7242,0.869739479,0.005711423,0.656682028
S12,S3,UD,Lomandra obliqua,loma,3,1.0232,92.6767,23.2,0.998,92.7137,24.6,0.998,92.7378,0.988176353,0.024148297,2.443723383
S13,S1,BD,Banksia serrata,serr,1,0.9225,92.6586,23.2,0.998,92.7795,24.6,0.998,,0.803206413,,
S13,S2,BD,Banksia serrata,serr,2,0.4889,92.6863,23.2,0.998,92.7696,24.6,0.998,,0.406412826,,
S13,S3,BD,Banksia serrata,serr,3,0.3975,92.6763,23.2,0.998,92.7112,24.6,0.998,,0.363326653,,
S13,S1,BD,Caustis pentandra,caustis,1,0.5194,92.6917,23.2,0.998,92.796,24.6,0.998,92.8119,0.415931864,0.015931864,3.830402313
S13,S2,BD,Caustis pentandra,caustis,2,1.0614,92.6975,23.2,0.998,92.8456,24.6,0.998,92.8702,0.915130261,0.024649299,2.693528961
S13,S3,BD,Caustis pentandra,caustis,3,0.1517,92.6967,23.2,0.998,92.6995,24.6,0.998,92.6845,0.149198397,-0.01503006,-10.07387508
S13,S2,BD,Haemodorum corymbosum,cory,2,1.0033,92.6832,23.2,0.998,92.8321,24.6,0.998,92.8404,0.856112224,0.008316633,0.971441948
S13,S1,BD,Haemodorum planifolium,plan,1,1.2737,92.6823,23.2,0.998,92.9888,24.6,0.998,93.0224,0.969138277,0.033667335,3.473945409
S13,S3,BD,Haemodorum planifolium,plan,3,0.1694,92.6799,23.2,0.998,92.6536,24.6,0.998,92.6543,0.196092184,0.000701403,0.357690342
S13,S1,BD,Hypoleana fastigata,hypo,1,0.3384,92.6817,23.2,0.998,92.5869,24.6,0.998,92.622,0.434068136,0.035170341,8.102493075
S13,S2,BD,Hypoleana fastigata,hypo,2,0.7057,92.6756,23.2,0.998,92.3907,24.6,0.998,92.613,0.99258517,0.222745491,22.44094488
S13,S3,BD,Hypoleana fastigata,hypo,3,0.6125,92.7006,23.2,0.998,92.5423,24.6,0.998,92.6103,0.772344689,0.068136273,8.822003114
S13,S1,BD,Lepidosperma concavum,conca,1,0.2615,92.6943,23.2,0.998,92.6604,24.6,0.998,92.6778,0.295991984,0.01743487,5.890318213
S13,S2,BD,Lepidosperma concavum,conca,2,0.2306,92.6785,23.2,0.998,92.6547,24.6,0.998,92.6763,0.25490982,0.021643287,8.490566038
S13,S3,BD,Lepidosperma concavum,conca,3,0.1894,92.7026,23.2,0.998,92.668,24.6,0.998,92.6747,0.224448898,0.006713427,2.991071429
S13,S1,BD,Lomandra obliqua,loma,1,0.5751,92.6832,23.2,0.998,92.5899,24.6,0.998,92.6499,0.669739479,0.06012024,8.976660682
S13,S2,BD,Lomandra obliqua,loma,2,1.0237,92.6986,23.2,0.998,92.6452,24.6,0.998,92.7014,1.079258517,0.056312625,5.217714233
S13,S3,BD,Lomandra obliqua,loma,3,0.4942,92.6922,23.2,0.998,92.7339,24.6,0.998,92.7457,0.453406814,0.011823647,2.607734807
S14,S1,IB,Banksia ericifolia,eric,1,0.2609,92.6887,23.2,0.998,92.7074,,,,0.242685371,,
S14,S1,IB,Cyathochaeta diandra,cya,1,0.1538,92.6849,23.2,0.998,92.6784,24.6,0.998,92.6799,0.160621242,0.001503006,0.935745477
S14,S2,IB,Cyathochaeta diandra,cya,2,0.3137,92.6686,23.2,0.998,92.6357,24.6,0.998,92.6558,0.347294589,0.020140281,5.799192152
S14,S3,IB,Cyathochaeta diandra,cya,3,0.2878,92.6709,23.2,0.998,92.6298,24.6,0.998,92.6453,0.329559118,0.015531062,4.712678626
S14,S1,IB,Entolasia stricta,ento,1,0.4037,92.675,23.2,0.998,92.6898,24.6,0.998,92.679,0.389679359,-0.010821643,-2.777063512
S14,S2,IB,Entolasia stricta,ento,2,0.294,92.6632,23.2,0.998,92.6498,24.6,0.998,92.6599,0.308016032,0.01012024,3.28562134
S14,S3,IB,Entolasia stricta,ento,3,0.3041,92.6684,23.2,0.998,92.682,24.6,0.998,,0.291082164,,
S14,S1,IB,Gonocarpus micranthus,gono,1,0.1509,92.6879,23.2,0.998,92.6607,24.6,0.998,92.6608,0.178456914,0.0001002,0.056148231
S14,S2,IB,Gonocarpus micranthus,gono,2,0.1866,92.6809,23.2,0.998,92.6779,24.6,0.998,92.6579,0.18997996,-0.02004008,-10.54852321
S14,S3,IB,Gonocarpus micranthus,gono,3,0.1944,92.6626,23.2,0.998,92.6467,24.6,0.998,,0.210721443,,
S14,S1,IB,Gonocarpus tetragynus,tetra,1,0.1442,92.6828,23.2,0.998,92.706,24.6,0.998,92.6591,0.121242485,-0.046993988,-38.76033058
S14,S2,IB,Gonocarpus tetragynus,tetra,2,0.105,92.6835,23.2,0.998,92.6846,24.6,0.998,,0.104108216,,
S14,S3,IB,Gonocarpus tetragynus,tetra,3,0.0493,92.6458,23.2,0.998,92.6455,24.6,0.998,92.6425,0.049699399,-0.003006012,-6.048387097
S14,S1,IB,Lepidosperma neesii,nee,1,0.1141,92.6876,23.2,0.998,92.6396,24.6,0.998,92.6565,0.16242485,0.016933868,10.42566317
S14,S2,IB,Lepidosperma neesii,nee,2,0.2576,92.6756,23.2,0.998,92.5055,24.6,0.998,92.6198,0.428557114,0.114529058,26.72433949
S14,S3,IB,Lepidosperma neesii,nee,3,0.4141,92.6814,23.2,0.998,92.6107,24.6,0.998,92.6665,0.485771543,0.055911824,11.50990099
S14,S1,IB,Leptocarpus tenax,tenax,1,0.1032,92.6675,23.2,0.998,92.6268,24.6,0.998,92.6407,0.144188377,0.013927856,9.659485754
S14,S1,IB,Leptospermum squarrosum,lepto,1,0.0332,92.6707,23.2,0.998,92.6698,,,,0.034168337,,
S14,S2,IB,Leptospermum squarrosum,lepto,2,0.0432,92.6666,23.2,0.998,92.6483,,,,0.061623246,,
S14,S1,IB,Lepyrodia scariosa ,lepy,1,0.4262,92.6685,23.2,0.998,92.5815,24.6,0.998,92.6595,0.514228457,0.078156313,15.19875292
S14,S2,IB,Lepyrodia scariosa ,lepy,2,0.2436,92.6725,23.2,0.998,92.6238,24.6,0.998,92.6483,0.292885772,0.024549098,8.381799521
S14,S3,IB,Lepyrodia scariosa ,lepy,3,0.6379,92.6895,23.2,0.998,92.6092,24.6,0.998,92.6563,0.719639279,0.047194389,6.558061821
S14,S1,IB,Lomandra obliqua,loma,1,0.5442,92.6604,23.2,0.998,92.7001,24.6,0.998,92.7006,0.505511022,0.000501002,0.099108028
S14,S2,IB,Lomandra obliqua,loma,2,0.1085,92.6714,23.2,0.998,92.671,24.6,0.998,92.6521,0.109118236,-0.018937876,-17.3553719
S14,S3,IB,Lomandra obliqua,loma,3,0.7025,92.6774,23.2,0.998,92.7222,24.6,0.998,92.7166,0.659018036,-0.005611222,-0.85145203
S14,S2,IB,Plinthanthesis paradoxa,plin,2,0.3334,92.6695,23.2,0.998,92.6622,24.6,0.998,92.6695,0.341382766,0.007314629,2.14264749
S14,S1,IB,Ptilothrix deusta,pti,1,0.3394,92.6676,23.2,0.998,92.6633,24.6,0.998,92.7069,0.344388778,0.043687375,12.68548152
S14,S2,IB,Ptilothrix deusta,pti,2,1.1939,92.6768,23.2,0.998,92.5255,24.6,0.998,92.6859,1.347895792,0.160721443,11.92387749
S14,S3,IB,Ptilothrix deusta,pti,3,0.4188,92.6779,23.2,0.998,92.6459,24.6,0.998,92.7045,0.451703407,0.058717435,12.99911269
S15,S1,IU,Banksia ericifolia,eric,1,0.1694,92.6644,23.2,0.998,92.6755,,,,0.158617234,,
S15,S2,IU,Banksia ericifolia,eric,2,0.0684,92.6731,23.2,0.998,92.6737,,,,0.067935872,,
